step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
1500,0.413225,0.000275483,3.53502e-08,2.68928e-12,0.0750692,0.196722,0.250176,0.749824,8,3,4,0.00145667,0.5,-2.20888e-13,1.00198,4.03176
1520,0.418734,0.000275483,3.53617e-08,2.69433e-12,0.0750628,0.196722,0.250176,0.749824,8,3,3,0.00145704,0.5,-1.55932e-13,1.00198,4.03175
1540,0.424244,0.000275483,3.53624e-08,2.69192e-12,0.0750701,0.196722,0.250176,0.749824,8,3,4,0.00145743,0.5,-1.55844e-13,1.00197,4.03177
1560,0.429754,0.000275483,3.53665e-08,2.68621e-12,0.0750701,0.196722,0.250176,0.749824,8,3,3,0.00145724,0.5,-1.80418e-13,1.00197,4.03176
1580,0.435263,0.000275483,3.53754e-08,2.68844e-12,0.0750625,0.196721,0.250177,0.749823,8,3,4,0.00145752,0.5,-1.02642e-13,1.00198,4.03177
1600,0.440773,0.000275483,3.53681e-08,2.69348e-12,0.0750665,0.196721,0.250177,0.749823,8,3,4,0.0014567,0.5,-1.0808e-13,1.00198,4.03178
1620,0.446283,0.000275483,3.53812e-08,2.69141e-12,0.0750584,0.196721,0.250177,0.749823,8,3,4,0.00145756,0.5,-1.57974e-13,1.00197,4.03176
1640,0.451792,0.000275483,3.53838e-08,2.68644e-12,0.0750699,0.196721,0.250177,0.749823,8,3,3,0.0014579,0.5,-1.09678e-13,1.00197,4.03178
1660,0.457302,0.000275483,3.53815e-08,2.68013e-12,0.075068,0.19672,0.250177,0.749823,8,3,4,0.00145713,0.5,-1.38356e-13,1.00198,4.03178
1680,0.462812,0.000275483,3.53927e-08,2.68668e-12,0.0750595,0.19672,0.250178,0.749822,8,3,4,0.00145742,0.5,-2.00905e-13,1.00198,4.03178
1700,0.468321,0.000275483,3.53931e-08,2.68845e-12,0.0750646,0.19672,0.250178,0.749822,8,3,4,0.00145781,0.5,-1.50041e-13,1.00197,4.0318
1720,0.473831,0.000275483,3.53976e-08,2.68136e-12,0.0750654,0.196719,0.250178,0.749822,8,3,4,0.00145787,0.5,-1.62652e-13,1.00197,4.03177
1740,0.479341,0.000275483,3.54043e-08,2.68058e-12,0.0750617,0.196719,0.250178,0.749822,8,3,4,0.00145829,0.5,-2.39338e-13,1.00198,4.0318
1760,0.48485,0.000275483,3.53938e-08,2.68472e-12,0.0750652,0.196719,0.250178,0.749822,8,3,4,0.00145725,0.5,-1.38725e-13,1.00198,4.03181
1780,0.49036,0.000275483,3.5404e-08,2.68651e-12,0.0750521,0.196718,0.250178,0.749822,8,3,3,0.00145808,0.5,-1.36974e-13,1.00198,4.03179
1800,0.49587,0.000275483,3.54036e-08,2.68302e-12,0.0750643,0.196718,0.250179,0.749821,8,3,4,0.00145854,0.5,-1.76296e-13,1.00197,4.0318
1815,0.5,0.000273484,3.52718e-08,2.68438e-12,0.0745761,0.196718,0.250179,0.749821,8,3,4,0.00145337,0.5,-1.12683e-13,1.00197,4.03182
