step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,mac_iters,visc_iters,nodal_iters,umax,max_dudt,rms_dudt
3260,16.9792,0.00520833,0.0371843,5.20117e-12,3.01112,9,3,6,0.921881,0.349577,0.00974307
3280,17.0833,0.00520833,0.0372778,5.5449e-12,3.00456,9,3,6,0.921938,0.690808,0.0124532
3300,17.1875,0.00520833,0.0373701,5.18874e-12,2.97877,9,3,6,0.921995,1.04034,0.0167737
3320,17.2917,0.00520833,0.0374614,5.19407e-12,3.01097,9,3,6,0.922051,0.349481,0.00944612
3340,17.3958,0.00520833,0.0375513,5.52891e-12,3.00441,9,3,6,0.922106,0.690603,0.012226
3360,17.5,0.00520833,0.03764,5.18874e-12,2.97864,9,3,6,0.922161,1.04005,0.0166073
3380,17.6042,0.00520833,0.0377278,5.19051e-12,3.01083,9,3,6,0.922215,0.349388,0.00916005
3400,17.7083,0.00520833,0.0378142,5.51292e-12,3.00427,9,3,6,0.922269,0.690406,0.0120101
3420,17.8125,0.00520833,0.0378994,5.17986e-12,2.97851,9,3,6,0.922322,1.03976,0.0164508
3440,17.9167,0.00520833,0.0379838,5.19584e-12,3.01069,9,3,6,0.922376,0.349299,0.00888559
3460,18.0208,0.00520833,0.0380667,5.52092e-12,3.00414,9,3,6,0.922428,0.690215,0.0118057
3480,18.125,0.00520833,0.0381484,5.18519e-12,2.97839,9,3,6,0.92248,1.03948,0.0163039
3500,18.2292,0.00520833,0.0382294,5.19584e-12,3.01056,9,3,6,0.922532,0.349212,0.00862315
3520,18.3333,0.00520833,0.0383089,5.53246e-12,3.00401,9,3,6,0.922583,0.690029,0.0116132
3540,18.4375,0.00520833,0.0383873,5.18341e-12,2.97827,9,3,6,0.922637,1.0392,0.0161667
3560,18.5417,0.00520833,0.0384649,5.19407e-12,3.01043,9,3,6,0.92269,0.349128,0.00837326
3580,18.6458,0.00520833,0.0385412,5.51825e-12,3.00388,9,3,6,0.922743,0.689849,0.0114323
3600,18.75,0.00520833,0.0386163,5.17808e-12,2.97815,9,3,6,0.922795,1.03894,0.0160389
3620,18.8542,0.00520833,0.0386906,5.18519e-12,3.01031,9,3,6,0.922847,0.349046,0.00813614
3640,18.9583,0.00520833,0.0387636,5.51559e-12,3.00376,9,3,6,0.922898,0.689674,0.0112632
3660,19.0625,0.00520833,0.0388356,5.17986e-12,2.97804,9,3,6,0.922949,1.03868,0.0159203
3680,19.1667,0.00520833,0.0389068,5.18874e-12,3.01019,9,3,6,0.923,0.348966,0.00791217
3700,19.2708,0.00520833,0.0389766,5.53957e-12,3.00364,9,3,6,0.92305,0.689504,0.0111058
3720,19.375,0.00520833,0.0390454,5.17986e-12,2.97793,9,3,6,0.923099,1.03844,0.0158108
3740,19.4792,0.00520833,0.0391135,5.19051e-12,3.01007,9,3,6,0.923148,0.348889,0.0077015
3760,19.5833,0.00520833,0.0391803,5.55378e-12,3.00352,9,3,6,0.923197,0.689339,0.0109598
3780,19.6875,0.00520833,0.0392461,5.19051e-12,2.97782,9,3,6,0.923244,1.03819,0.0157099
3800,19.7917,0.00520833,0.0393112,5.20117e-12,3.00996,9,3,6,0.923292,0.348814,0.00750413
3820,19.8958,0.00520833,0.039375,5.58753e-12,3.00341,9,3,6,0.923339,0.689179,0.010825
3840,20,0.00520833,0.0394378,5.20473e-12,2.97772,9,3,6,0.923385,1.03796,0.0156173
3860,20.1042,0.00520833,0.0395,5.21183e-12,3.00986,9,3,6,0.923431,0.348742,0.00732011
3880,20.2083,0.00520833,0.0395609,5.61151e-12,3.00331,9,3,6,0.923476,0.689024,0.0107011
3900,20.3125,0.00520833,0.0396209,5.21005e-12,2.97763,9,3,6,0.92352,1.03773,0.0155328
3920,20.4167,0.00520833,0.0396802,5.22249e-12,3.00975,9,3,6,0.923564,0.348672,0.00714919
3940,20.5208,0.00520833,0.0397383,5.63549e-12,3.00321,9,3,6,0.923607,0.688874,0.0105874
3960,20.625,0.00520833,0.0397955,5.21716e-12,2.97753,9,3,6,0.92365,1.03751,0.0154557
3980,20.7292,0.00520833,0.039852,5.22604e-12,3.00965,9,3,6,0.923692,0.348605,0.00699115
4000,20.8333,0.00520833,0.0399074,5.64881e-12,3.00311,9,3,6,0.923733,0.68873,0.0104837
4020,20.9375,0.00520833,0.0399619,5.21538e-12,2.97744,9,3,6,0.923774,1.0373,0.0153856
4040,21.0417,0.00520833,0.0400158,5.22249e-12,3.00956,9,3,6,0.923814,0.34854,0.00684541
4060,21.1458,0.00520833,0.0400686,5.64082e-12,3.00301,9,3,6,0.923853,0.688591,0.0103892
4080,21.25,0.00520833,0.0401205,5.21716e-12,2.97736,9,3,6,0.923892,1.0371,0.0153221
